"Questions","Who ","How ","In which ","What ","When ","Where ","Which "
"name the races where bobby beasley took part ?","0","0","0","0","0","0","0"
"What is the content license of Darcs ?","0","0","0","1","0","0","0"
"How many items belong to the Science Fiction genre ?","0","1","0","0","0","0","0"
"Count the cities whihch are on the same sea as that of Miami ?","0","0","0","0","0","0","0"
"How many scientist became famous for the battle of Occupation of Japan ?","0","1","0","0","0","0","0"
"Name the river whose mouth mountain is Southend-on-Sea and mouth place is Essex ?","0","0","0","0","0","0","0"
"In how many countries does the Zurich Affoltern am Albis Zug line go ?","0","0","0","0","0","0","0"
"Give me the count of all people who ascented a peak in California ?","0","0","0","0","0","0","0"
"What people are known to work for Johnny Cash ?","0","0","0","1","0","0","0"
"What rivers originate from Australian Alps ?","0","0","0","1","0","0","0"
"What is the nationality of the J. T. Krogh which is also the  sovereign state of the Camilla Martin ?","0","0","0","1","0","0","0"
"What is the television show whose sculptor is C. E. Webber and composed by Murray Gold ?","0","0","0","1","0","0","0"
"In how many different places have people beatified by Pope Pius X died ?","0","0","0","0","0","0","0"
"How many groups have fought in wars where Richard Taylor fought too ?","0","1","0","0","0","0","0"
"Is Halyna Kukhar the former coach of Stanislav Morozov ?","0","0","0","0","0","0","0"
"Who directed the haunted house and alice in wonderland ?","1","0","0","0","0","0","0"
"Count the sports played at universities located in Urban Areas ?","0","0","0","0","0","0","0"
"Which wars were fought by the commander whose deputy was Robert T. Herres ?","0","0","0","0","0","0","1"
"Is the Bucyrus MT6300AC assembled in north america ?","0","0","0","0","0","0","0"
"What is the game platform of Google Cloud Connect ?","0","0","0","1","0","0","0"
"Who develops the computation platform of Microsoft Expression Encoder ?","1","0","0","0","0","0","0"
"In how many places can I find tombs of people who fought in the Norwalk Trainband ?","0","0","0","0","0","0","0"
"Which movies' composers have won a BAFTA for film music ?","0","0","0","0","0","0","1"
"Is Microsoft office written in C++ ?","0","0","0","0","0","0","0"
"Was the altazor drawn by Picasso ?","0","0","0","0","0","0","0"
"How many people used to play for Toronto Argonauts ?","0","1","0","0","0","0","0"
"In how many languages did Marika Gombitova sing ?","0","0","0","0","0","0","0"
"What is the common party of Chandra Shekhar and Govinda ?","0","0","0","1","0","0","0"
"How many different songwriters have had their songs recorded in London ?","0","1","0","0","0","0","0"
"Which is the university of Vanderbilt Commodores ?","0","0","0","0","0","0","1"
"Which is the common nation of Louisa Hill and American Football Wellington from ?","0","0","0","0","0","0","1"
"Was robert sarvis a nominee of the US Senate ?","0","0","0","0","0","0","0"
"How many home stadium are there, of the soccer club seasons whose chairman is Merritt Paulson ?","0","1","0","0","0","0","0"
"who all play for of the american football players at  Quarterback position ?","0","0","0","0","0","0","0"
"In which region was political figure Wayne Allard elected ?","0","0","1","0","0","0","0"
"Where is Emmett Hughes from ?","0","0","0","0","0","1","0"
"Name the district of Robert William Wilcox ?","0","0","0","0","0","0","0"
"What are the television shows which are in NTSC and 5.1 surround sound ?","0","0","0","1","0","0","0"
"Give me a count of bacterias which belongs to Bacilli class ?","0","0","0","0","0","0","0"
"Count the participants of the NBA. ?","0","0","0","0","0","0","0"
"How many politicians are in the US Senate ?","0","1","0","0","0","0","0"
"How many players participated in the 2004-05 FC Barcelona season ?","0","1","0","0","0","0","0"
"Count everyone who studied at an institute which are in Suburbs ?","0","0","0","0","0","0","0"
"Which source of broad creek is the Audenried tunnel located ?","0","0","0","0","0","0","1"
"Count me the number of people whose military unit is involved with Close air support ?","0","0","0","0","0","0","0"
"Who were fighting the war where the QF Hotchkiss was used ?","1","0","0","0","0","0","0"
"Where was the Temptation Waits recorded ?","0","0","0","0","0","1","0"
"Name the species of Panthera leo fossilis ?","0","0","0","0","0","0","0"
"Name the driver who had a pole finish in 1989 Portuguese Grand Prix ?","0","0","0","0","0","0","0"
"what are some common surnames of female people ?","0","0","0","0","0","0","0"
"Give me the total number of membership of the organisations which have memebers as  Azerbaijan ?","0","0","0","0","0","0","0"
"What are the reason served by Toll Global Express which is also the country of LPGA ?","0","0","0","1","0","0","0"
"Give the total number of places to which airlines go, who also go to Glasgow ?","0","0","0","0","0","0","0"
"Where does the rail route, which ends at the Moskovsky station, begins ?","0","0","0","0","0","1","0"
"Was 12th Field Artillery Regiment garrisoned at colorado ?","0","0","0","0","0","0","0"
"What is the municipality of Patterson Houses ?","0","0","0","1","0","0","0"
"Was Gareth Southgate a manager of Middlesbrough F.C. ?","0","0","0","0","0","0","0"
"Count the number of sports played by the universities whihc also plays Volleyball ?","0","0","0","0","0","0","0"
"Which wine region of Bogdanua is the Croatian Inline hockey team part of ?","0","0","0","0","0","0","1"
"For which games are Sam Loyd and Eric Schiller both famous ?","0","0","0","0","0","0","0"
"Count the number of religions followed by Janta Dal members. ?","0","0","0","0","0","0","0"
"Does Lousana lie at the end of Alberta Highway 42 ?","0","0","0","0","0","0","0"
"Which president of United States had vice president as John Adams ?","0","0","0","0","0","0","1"
"Give me a count of movies whose producer is Larry J. Franco ?","0","0","0","0","0","0","0"
"Name the partners of Kelly Brook ?","0","0","0","0","0","0","0"
"Count everyone who lives in a place where Indian English is an official language ?","0","0","0","0","0","0","0"
"Count the  total number of mammals whose phylum is Chordate and order (taxonomy) is Diprotodontia ?","0","0","0","0","0","0","0"
"What disease led to the demise of Letitia MacTavish Hargrave and Martino Martini ?","0","0","0","1","0","0","0"
"Is George Lucas the cinematographer of 6-18-67 ?","0","0","0","0","0","0","0"
"List the shows whose company's successor is Amblin Television. ?","0","0","0","0","0","0","0"
"Count the total number of battles fought by the military people which fought in Levant ?","0","0","0","0","0","0","0"
"Name the sports played by Jamiatu Muslim Mindanao ?","0","0","0","0","0","0","0"
"What is the television show whose opening theme is Te Deum (Charpentier) ?","0","0","0","1","0","0","0"
"What is the total number of participant in conflict of SFOR ?","0","0","0","1","0","0","0"
"From how many different places have people gone to the Harward Medical School ?","0","0","0","0","0","0","0"
"Name the river passing through Reading Berkshire and has mouth place at Essex ?","0","0","0","0","0","0","0"
"How many movies music composers are associated with Demis Roussos ?","0","1","0","0","0","0","0"
"Who all play for the Ivory Coast football team ?","1","0","0","0","0","0","0"
"Which party has come in power at both Balangir and Amaravila in india ?","0","0","0","0","0","0","1"
"List the total number of executive producer of TV show which have one of the executiive producer as Steven Moffat ?","0","0","0","0","0","0","0"
"How many things belong to a division of plant kingdom ?","0","1","0","0","0","0","0"
"Does Massimo Liverani play for Abarth ?","0","0","0","0","0","0","0"
"Name the source Island of Bayou ?","0","0","0","0","0","0","0"
"Did Alexander Magleby study at the Dartmouth College ?","0","0","0","0","0","0","0"
"What is the total number of relgions followed by people born in Bangkok ?","0","0","0","1","0","0","0"
"Where are the homestadiums of the seasons chaired by Merritt Paulson ?","0","0","0","0","0","1","0"
"In which of the parties that have governed over Rishikesh, does Govinda belong too ?","0","0","1","0","0","0","0"
"List softwares written in C++ and runs on Mac OS ?","0","0","0","0","0","0","0"
"What are the home stadiums of the things Leonid Fedun has been the chairman of ?","0","0","0","1","0","0","0"
"For which team does hunter pence play for ?","0","0","0","0","0","0","0"
"How many have former teams as Indianapolis Colts and Carolina Panthers ?","0","1","0","0","0","0","0"
"Who owns Ivanpah Solar Power Facility ?","1","0","0","0","0","0","0"
"Name the sharehoders of The National Herald ?","0","0","0","0","0","0","0"
"List some things that Swedish people have become famous for ?","0","0","0","0","0","0","0"
"How many things are made by companies who produce mass media articles ?","0","1","0","0","0","0","0"
"Name the rivers who originate from Essex ?","0","0","0","0","0","0","0"
"Is lion an animal ?","0","0","0","0","0","0","0"
"Which players have represented Los Angeles Angels of Anaheim ?","0","0","0","0","0","0","1"
"List the shows whose network is run by BBC. ?","0","0","0","0","0","0","0"
"What are some games availible on nintendo's virtual console ?","0","0","0","1","0","0","0"
"Which bacteria's taxonomic class is Bacilli ?","0","0","0","0","0","0","1"
"Is the magnolia place of the greek revival architectural style ?","0","0","0","0","0","0","0"
"List the movies whose cast member were born in Scotland. ?","0","0","0","0","0","0","0"
"List the significant building of the architect who also designed  Kiev ?","0","0","0","0","0","0","0"
"Was George Washington on the rank of general ?","0","0","0","0","0","0","0"
"What softwares were created by Apple Productivity Experience Group ?","0","0","0","1","0","0","0"
"Count the number of judges who've come on CTV network shows. ?","0","0","0","0","0","0","0"
"What are the shows whose creator has worked as a screenwriter ?","0","0","0","1","0","0","0"
"Who is the person whose opponent's father is Newman Haynes Clanton ?","1","0","0","0","0","0","0"
"Which religions are practiced in India ?","0","0","0","0","0","0","1"
"Is Gaza Strip the result of Operation Autumn Clouds ?","0","0","0","0","0","0","0"
"Is the Frank R Lillie House has the Chicago architecture ?","0","0","0","0","0","0","0"
"Name the common musical band of Take Me There and Tonight's the Night ?","0","0","0","0","0","0","0"
"What are the county seats of the region which operates the Boeing Field ?","0","0","0","1","0","0","0"
"What is the university whose campus are Indiana and Iowa ?","0","0","0","1","0","0","0"
"What is the style of architecture of Pontiac Building ?","0","0","0","1","0","0","0"
"Name the directors of Lennon Legend: The Very Best of John Lennon (DVD) ?","0","0","0","0","0","0","0"
"For how many other teams have the members of Atlant Moscow Oblast played ?","0","0","0","0","0","0","0"
"How many sports are played in maharashtran schools ?","0","1","0","0","0","0","0"
"List the served region of the organisations of Trade association. ?","0","0","0","0","0","0","0"
"List down the commanders of Battle of Fort stephenson ?","0","0","0","0","0","0","0"
"List the books whose authors are in Alcal de Henares. ?","0","0","0","0","0","0","0"
"Is Guatemala a unitary state ?","0","0","0","0","0","0","0"
"what are some journals of academic Philosophy ?","0","0","0","0","0","0","0"
"Did taylor swift do the theme song of The Farmer Wants a Wife ?","0","0","0","0","0","0","0"
"What currencies have been prevalent in the country whose national anthem is La Marseillaise ?","0","0","0","1","0","0","0"
"Where is Vietnam Airlines located ?","0","0","0","0","0","1","0"
"How many sitcoms are there whose theme music is composed by a New Yorker ?","0","1","0","0","0","0","0"
"Where is the origin of Filbert's Old Time Root Beer ?","0","0","0","0","0","1","0"
"Name the musical band of Written in the Stars ?","0","0","0","0","0","0","0"
"Count the affiliations of International Union of Anarchists ?","0","0","0","0","0","0","0"
"On which subjects does the author of the novel Thud! delve ?","0","0","0","0","0","0","0"
"Is Lancy a city close to Geneva ?","0","0","0","0","0","0","0"
"Who is the american football player whose highschool is Ringgold High School (Pennsylvania) ?","1","0","0","0","0","0","0"
"Give me some organizations working for Environmentalism ?","0","0","0","0","0","0","0"
"Is Wahoo! the previous work of Honeybuns ?","0","0","0","0","0","0","0"
"List the awards given to the race horses bred by Willis Sharpe Kilmer. ?","0","0","0","0","0","0","0"
"The players born in Bellaire, Ohio have played for which team ?","0","0","0","0","0","0","0"
"What games can be played in schools founded by Fr. Orlando ?","0","0","0","1","0","0","0"
"Is Frontaccounting licensed under GNU license ?","0","0","0","0","0","0","0"
"Which things have been made by artists who died in Midhurst ?","0","0","0","0","0","0","1"
"What is the citizenship of the Sarah Kazemy and land of the Cervelle de canut ?","0","0","0","1","0","0","0"
"Name some dishes made with flowering plants. ?","0","0","0","0","0","0","0"
"How many other home stadium are there of the soccer club whose home stadium is Luzhniki Stadium ?","0","1","0","0","0","0","0"
"Where is the  assembly of Caterpillar 797 ?","0","0","0","0","0","1","0"
"List everything governed by the Democratic Party of US ?","0","0","0","0","0","0","0"
"What are some software which are written in languages that are run on Unix like OS ?","0","0","0","1","0","0","0"
"Where did some of the matches take place where Columbus Crew SC played ?","0","0","0","0","0","1","0"
"How many shows belong to the networks one of whose sister station is BBC News ?","0","1","0","0","0","0","0"
"List the agencies located someplace lead by Alex Chalk. ?","0","0","0","0","0","0","0"
"Through which cities do the rivers starting at the Montauk State Park flow ?","0","0","0","0","0","0","0"
"People from how many political parties exist in Maharashtra ?","0","0","0","0","0","0","0"
"Whose opponents are Ike Clanton and Billy Clanton ?","0","0","0","0","0","0","0"
"Who are the people whose alumna is a part of the National Collegiate Athletic Association ?","1","0","0","0","0","0","0"
"To which religion does the commander of South Thailand insurgency belong ?","0","0","0","0","0","0","0"
"Give me a count of everything owned by the network whose sister name is The CW ?","0","0","0","0","0","0","0"
"Which famous writer was married to Jill Krementz and had a son named Edith Vonnegut ?","0","0","0","0","0","0","1"
"Which are the races in which Martin Molony participated ?","0","0","0","0","0","0","1"
"Was Yabanc Damat first aired in UAE ?","0","0","0","0","0","0","0"
"Name some basketball players who  have played for chicago bulls ?","0","0","0","0","0","0","0"
"What is the field of the Jon Speelman and occupation of the Karen Grigorian ?","0","0","0","1","0","0","0"
"List the maintainers of Pandaruan Bridge ?","0","0","0","0","0","0","0"
"Who were the producers of the tenderfoot ?","1","0","0","0","0","0","0"
"Is coffee a main ingredient of Hopje ?","0","0","0","0","0","0","0"
"How many sitcoms were produced by the company whose predecessor was the Desilu Productions ?","0","1","0","0","0","0","0"
"Which engine's successor's predecessor is BMW M10 ?","0","0","0","0","0","0","1"
"Which person's successor is Samsu-iluna ?","0","0","0","0","0","0","1"
"Under which president did the predecessor of Simon Ferro work ?","0","0","0","0","0","0","0"
"In which municipalities does the NYC housing authority own buildings ?","0","0","1","0","0","0","0"
"Was andy worhol the director of the san diego surf ?","0","0","0","0","0","0","0"
"Count the number of places where alumini of Edinburgh university have died ?","0","0","0","0","0","0","0"
"Is Cologny a neighbouring city of Geneva ?","0","0","0","0","0","0","0"
"Does the Sicklefin lemon shark belong in the animal kingdom ?","0","0","0","0","0","0","0"
"What is the local authority of Liverpool Institute High School for Boys ?","0","0","0","1","0","0","0"
"Give me the places where people who worked in Church of England died in ?","0","0","0","0","0","0","0"
"What famous musicians play the remo ?","0","0","0","1","0","0","0"
"What belongs to the families of Buccinidae and Buccinoidea ?","0","0","0","1","0","0","0"
"List down all notable works of Neil Cross ?","0","0","0","0","0","0","0"
"What is the largest city of the country which have an assembly of Plymouth Savoy ?","0","0","0","1","0","0","0"
"Does nintendo have a division called Nintendo Entertainment Planning & Development ?","0","0","0","0","0","0","0"
"How many pole drivers have been there in grand prixes where first driver was Damon Hill ?","0","1","0","0","0","0","0"
"Was the Model K designed by Herny Ford ?","0","0","0","0","0","0","0"
"Is Queen Latifah the narrator of Arctic Tale ?","0","0","0","0","0","0","0"
"How many companies were founded in Dallas ?","0","1","0","0","0","0","0"
"What are the mammals whose phylum is Chordate ?","0","0","0","1","0","0","0"
"Which state's largest city is Omaha ?","0","0","0","0","0","0","1"
"Who all have been judges on CTV Network's shows ?","1","0","0","0","0","0","0"
"Which rivers end in Old Saybrook, Connecticut ?","0","0","0","0","0","0","1"
"How many artists' works are in Muse d'Orsay ?","0","1","0","0","0","0","0"
"In how many different places does Canal and River Trust own its assets ?","0","0","0","0","0","0","0"
"which planet was discovered by Urbain Le Verrier ?","0","0","0","0","0","0","0"
"Who are some authoritative persons on the matter of Megabalanus concinnus ?","1","0","0","0","0","0","0"
"Who is the father of Barbara Ann Crancer ?","1","0","0","0","0","0","0"
"What are some given names for males ?","0","0","0","1","0","0","0"
"Name the parent company of Ford Falcon Cobra ?","0","0","0","0","0","0","0"
"Where is the radio broadcasted in, whose sister station is CKFM-FM ?","0","0","0","0","0","1","0"
"Does A foreign policy of freedom belong to the genre Politics ?","0","0","0","0","0","0","0"
"Chestnut colored horses have won which races ?","0","0","0","0","0","0","0"
"For which common president did Jim Sasser and Mike McCurry work ?","0","0","0","0","0","0","0"
"Jerry Bock's musicals has been adapted from how many things ?","0","0","0","0","0","0","0"
"Who are the spouse of the parents of Kimberly Stewart ?","1","0","0","0","0","0","0"
"Count the number of fileds of the scientist whose one of the interest is Chinese poetry ?","0","0","0","0","0","0","0"
"Who is the governor of Carl McCall ?","1","0","0","0","0","0","0"
"What borders the valley which falls under Lake County, Oregon ?","0","0","0","1","0","0","0"
"Name the television show created by CE Webber and also has actor named Companion ?","0","0","0","0","0","0","0"
"What sports are played at universities affiliated by States Colleges and Universities athletic association ?","0","0","0","1","0","0","0"
"Which team has had both Martin prochzka and garry unger as its players ?","0","0","0","0","0","0","1"
"What is the official residence of Fergus McMaster ?","0","0","0","1","0","0","0"
"What is the total number of  builder of the military structures whose builder is also United States ?","0","0","0","1","0","0","0"
"From what countries have people participated in the Excelsior Stakes ?","0","0","0","0","0","0","0"
"What is the total number of guests on the show whose theme music is Let me be your star ?","0","0","0","1","0","0","0"
"Was Noko a band member of Luxuria ?","0","0","0","0","0","0","0"
"Name some basketball players whose team is coached by Fred Hoiberg ?","0","0","0","0","0","0","0"
"Who all have developed softwares for Unix Like OSes ?","1","0","0","0","0","0","0"
"What are the movies whose music is composed by Vangelis ?","0","0","0","1","0","0","0"
"Was Walt Disney the cinematographer of Mickey's Mellerdrammer ?","0","0","0","0","0","0","0"
"Who is the operator of Rainbow Warrior (1955) ?","1","0","0","0","0","0","0"
"Which series are Lennier and Londo Mollari both from ?","0","0","0","0","0","0","1"
"Graduates of Somerville College have been in how many political parties ?","0","0","0","0","0","0","0"
"What are some primates ?","0","0","0","1","0","0","0"
"Count the number of battles fought by the military person involved in Morocco ?","0","0","0","0","0","0","0"
"How many companies were founded in Denton, texas ?","0","1","0","0","0","0","0"
"Count the different causes of death of Christians. ?","0","0","0","0","0","0","0"
"Name the TV show whose cast member is Companion (Doctor Who) and is related to The Sarah Jane Adventures ?","0","0","0","0","0","0","0"
"List all the collaborators of the artist which has collaborated with sanremo Music Festival ?","0","0","0","0","0","0","0"
"Name the  people whose residence is Beverly Hills, California ?","0","0","0","0","0","0","0"
"Was Marie Curie a doctoral student of Henri Becquerel ?","0","0","0","0","0","0","0"
"Where does the railway tracks start, which ends in Kazan ?","0","0","0","0","0","1","0"
"Give me a count of all ice hockey players whose teams are headcoached by John Tortorella ?","0","0","0","0","0","0","0"
"Name all the venues of the convention which has also been hosted in San Diego Convention ?","0","0","0","0","0","0","0"
"Where is the county seat of King County, Washington ?","0","0","0","0","0","1","0"
"How many relatives are there of the people who died in Germany ?","0","1","0","0","0","0","0"
"Was Lucrezia Tornabuoni the mother of Lorenzo de' Medici ?","0","0","0","0","0","0","0"
"List of people who were the first one to ascend a mountain in the Cathedral range ?","0","0","0","0","0","0","0"
"How many movies did Stanley Kubrick direct ?","0","1","0","0","0","0","0"
"In how many different places can I fnd Modern Architectural buildings ?","0","0","0","0","0","0","0"
"Who has had been the tenant of the stadium built by PCL construction firm ?","1","0","0","0","0","0","0"
"What is the type of Vesak ?","0","0","0","1","0","0","0"
"Which military personnel belong to the branch of Continental Army ?","0","0","0","0","0","0","1"
"Where did the president study, whose VP was Emilio Nez ?","0","0","0","0","0","1","0"
"In how many different places were the people born who are members of National Museum of Racing and Hall of Fame ?","0","0","0","0","0","0","0"
"Which military commander fought his battle at Fort Gadsen ?","0","0","0","0","0","0","1"
"Did Phillippe Cabot go to Columbia for studying ?","0","0","0","0","0","0","0"
"Which rivers start at the Brower's Spring ?","0","0","0","0","0","0","1"
"Which software uses windows as it's operating system and is written in C++ ?","0","0","0","0","0","0","1"
"Which draft team od Dale Mitchell is also the tenant of Master Card center / ?","0","0","0","0","0","0","1"
"Who is the scientist whose academic advisor was Karl Ewald Hasse ?","1","0","0","0","0","0","0"
"Count the awards received by the ones who fought the battle of france ?","0","0","0","0","0","0","0"
"By what person of which political party is Balangir district led ?","0","0","0","0","0","0","0"
"What is the owner of Ivanpah Solar Power Facility and the original developer of Dart ?","0","0","0","1","0","0","0"
"Who all are buried in Arlington national cementary ?","1","0","0","0","0","0","0"
"who manufactures the SHO V8 ?","0","0","0","0","0","0","0"
"Which shows had their painters born in England ?","0","0","0","0","0","0","1"
"What is the former team of the american football players whose position is Running back ?","0","0","0","1","0","0","0"
"Which current players once played for Toronto argonauts ?","0","0","0","0","0","0","1"
"Which company builds Microsoft Azure and Microsoft Surface ?","0","0","0","0","0","0","1"
"Which contnet license provider of Microsoft Office Picture Manager is also the game platform of Google Clud Connect ?","0","0","0","0","0","0","1"
"Did Stan Lee create the Iceman comics ?","0","0","0","0","0","0","0"
"Whihc party of the Mizoram Legislative Assembly is the government type of kumta ?","0","0","0","0","0","0","0"
"What currencies are circulated in the countries where people speak French ?","0","0","0","1","0","0","0"
"Which division of Serbia national team is also the region of Dobinsk Ice Cave ?","0","0","0","0","0","0","1"
"Ernest Rutherford was the advisor of how many people ?","0","0","0","0","0","0","0"
"Where were some people associated with Steve Winwood employed at ?","0","0","0","0","0","1","0"
"Does the river shannon originate from Dowra ?","0","0","0","0","0","0","0"
"What is the currency of Kerguelen Islands ?","0","0","0","1","0","0","0"
"Does Jevan Snead play as Quarterback ?","0","0","0","0","0","0","0"
"In how many nations is Coconut a common food ingredient ?","0","0","0","0","0","0","0"
"Is tahiti in the Society Islands achipelago ?","0","0","0","0","0","0","0"
"How many games have been composed by Hirokazu Tanaka ?","0","1","0","0","0","0","0"
"Name few television shows's anchored by Ryan Seacrest ?","0","0","0","0","0","0","0"
"Was Queen Latifah in the U.N.I.T.Y. group ?","0","0","0","0","0","0","0"
"List the total number of regions of the building whose are located in\Grand Forks Air Force Base ?","0","0","0","0","0","0","0"
"Which religion's people are member of BJP ?","0","0","0","0","0","0","1"
"Count the different alma maters of people employed by the CNN ?","0","0","0","0","0","0","0"
"How many dishes are made with an ingredient belonging to the flowering plant species ?","0","1","0","0","0","0","0"
"Was the Funky Lab Rat released in North America ?","0","0","0","0","0","0","0"
"Which is the city closest to both the Lodaiska site and the home of David w brown ?","0","0","0","0","0","0","1"
"What is the state of the settlement, which is the sub assembly of Mohamedia, Tunisia ?","0","0","0","1","0","0","0"
"Whose leaders are Willem-Alexander and Fredis Refunjol ?","0","0","0","0","0","0","0"
"What television show are distributed by Broadcast syndication ?","0","0","0","1","0","0","0"
"Name the person with opponents Ike Clanton and Tom McLaury ?","0","0","0","0","0","0","0"
"What are the airlines whose hub airport is operated by the Los Angeles World Airports ?","0","0","0","1","0","0","0"
"What is used as money for French Southern and Antarctic Lands is also the  product of the Karafarin Bank ?","0","0","0","1","0","0","0"
"Who are the golf players whose college is Arizona State Sun Devils ?","1","0","0","0","0","0","0"
"Who is the film star of On Air with Ryan Seacrest ?","1","0","0","0","0","0","0"
"Who wrote Catch My soul ?","1","0","0","0","0","0","0"
"How many bands collaborated with artists who signed up with EMI ?","0","1","0","0","0","0","0"
"In which places can we find the people won the Project Runaway Canada ?","0","0","1","0","0","0","0"
"How many factions were fighting in the wars where Blue Jacket was a commander ?","0","1","0","0","0","0","0"
"Did Stan Lee write the Daredevils ?","0","0","0","0","0","0","0"
"How many record labels publish works of Jazz fusion ?","0","1","0","0","0","0","0"
"To what region is Sukhumbhand Paribatra, a leader ?","0","0","0","0","0","0","0"
"For how many movies have the music composer composed music, who have collaborated with Yes ?","0","0","0","0","0","0","0"
"What is the total number of other nearest countries to the lakes whose nearest countries is Uganda ?","0","0","0","1","0","0","0"
"Give me some shows owned by BBC one and BBC hd ?","0","0","0","0","0","0","0"
"List out the people who are related to the relatives of Jared Kushner ?","0","0","0","0","0","0","0"
"Was Buzz Williams the headcoach of the Marquette Golden Eagles mens team ?","0","0","0","0","0","0","0"
"How many units follow the US Navy Department's command structure ?","0","1","0","0","0","0","0"
"Which education institute of Duncan U. Fletcher is also the university of Vanderbilt Commodores ?","0","0","0","0","0","0","1"
"Who built the Ford Y-block engine ?","1","0","0","0","0","0","0"
"Is Plymouth High School for Girls in Devon county ?","0","0","0","0","0","0","0"
"List the first drivers of Grand Prixes where Mika Hakkinen was a pole driver. ?","0","0","0","0","0","0","0"
"Who produced the Pixar Image Computer ?","1","0","0","0","0","0","0"
"Was mother teresa beatified by John Paul the second ?","0","0","0","0","0","0","0"
"How many different people hold authority over the members of Balanidae family ?","0","1","0","0","0","0","0"
"Which fields' academic journals are found in the US ?","0","0","0","0","0","0","1"
"How many other region served are there of the companies which serves  Pacific Ocean ?","0","1","0","0","0","0","0"
"Which common prime minister did Graham Richardson and Bon McMullan serve ?","0","0","0","0","0","0","1"
"Name the alma mater of Ernest de Saisset ?","0","0","0","0","0","0","0"
"Where does the Giannis Alafouzos originate ?","0","0","0","0","0","1","0"
"What are some party leaders of the parties which have had a seat in Berlin ?","0","0","0","1","0","0","0"
"What awards have been given to Screenwriters ?","0","0","0","1","0","0","0"
"What companies are located in toronto ?","0","0","0","1","0","0","0"
"Which Harris County based company is a subsidiary of Tandem Computers ?","0","0","0","0","0","0","1"
"What is the baseball team whose club manager's debut team is Houston Astros ?","0","0","0","1","0","0","0"
"How many corporations were founded in Texas ?","0","1","0","0","0","0","0"
"List all binomial authority of the insects whose one of the  binomial authority is douard Mntries ?","0","0","0","0","0","0","0"
"In which state is Red Willow Creek ?","0","0","1","0","0","0","0"
"Name the resting place of Fazlur Rahman Khan ?","0","0","0","0","0","0","0"
"Count all the places where companies located in Ontario operate. ?","0","0","0","0","0","0","0"
"What politician's partner is Diana Taylor ?","0","0","0","1","0","0","0"
"What is the district of Methodist Central Hall Westminster ?","0","0","0","1","0","0","0"
"Does Jean Louis Arcand work for Geneva ?","0","0","0","0","0","0","0"
"How many religions are followed amongst the people who've worked in the Korean army ?","0","1","0","0","0","0","0"
"List the people died in Hyderabad and are a member of political party ?","0","0","0","0","0","0","0"
"What kind of buildings were designed by Pyusawhti ?","0","0","0","1","0","0","0"
"Is Esther Alder the mayor of Geneva ?","0","0","0","0","0","0","0"
"What are the baseball players who played for San Francisco Giants ?","0","0","0","1","0","0","0"
"Where does the Jerusalem Institute of Justice render their services ?","0","0","0","0","0","1","0"
"Which political party got elected in First Legislative Assembly of Uttar Pradesh ?","0","0","0","0","0","0","1"
"How many companies were founded in Menlo Park, California ?","0","1","0","0","0","0","0"
"What is the television show whose channel's parent organisation is Fox Sports ?","0","0","0","1","0","0","0"
"Which bands are associated to David Paton ?","0","0","0","0","0","0","1"
"Where does Kafue and Shire river flow into ?","0","0","0","0","0","1","0"
"Who is the president when Loretta Ucelli used to work for Democratic party ?","1","0","0","0","0","0","0"
"was Charlemagne canonized by antipope pachal 3 ?","0","0","0","0","0","0","0"
"What are the players whose former teams are Carolina Panthers and Indianapolis Colts ?","0","0","0","1","0","0","0"
"Is Akan spoken in Ghana ?","0","0","0","0","0","0","0"
"How many basketball players studied in the Midland College ?","0","1","0","0","0","0","0"
"Rickenbacker is a musical instrument played by which artists ?","0","0","0","0","0","0","0"
"Is Liang Chow the headcoach of Shawn Johnson ?","0","0","0","0","0","0","0"
"What ethinicity of Linda Hogan is also the state of origin of Holmes Colbert ?","0","0","0","1","0","0","0"
"What other destinations do airlines go to, whose flights also come to Glasgow ?","0","0","0","1","0","0","0"
"Where did Steve Romeo dies ?","0","0","0","0","0","1","0"
"Of the sports commonly played at Islamic Azad Uni, tehran, which one does Jon Speelman play ?","0","0","0","0","0","0","0"
"What is the government type of Ancient Rome ?","0","0","0","1","0","0","0"
"Who are the animator of The Skeleton Dance ?","1","0","0","0","0","0","0"
"What is the birth location of the pope who was canonized by Agatha of Sicily ?","0","0","0","1","0","0","0"
"What is the common country of Ganz UV and Balaton wine region ?","0","0","0","1","0","0","0"
"What organization is the parent of Greenpeace Nordic ?","0","0","0","1","0","0","0"
"Give me some softwares which run on mac os ?","0","0","0","0","0","0","0"
"Which destination of the Novair International Airways is also the  predecessor of the Chevrolet Caprice ?","0","0","0","0","0","0","1"
"What are some scientists who have stateless citizenship ?","0","0","0","1","0","0","0"
"which awards have been given to people who fought in the Battle of France ?","0","0","0","0","0","0","0"
"How many people have been trained in an institute located in California ?","0","1","0","0","0","0","0"
"Which composer subsequent work of Moondog Matinee and also composed The TImes They are A changin ?","0","0","0","0","0","0","1"
"Name whose youth club was FC Barcelona ?","0","0","0","0","0","0","0"
"What is the citizenship of Erastus Wiman ?","0","0","0","1","0","0","0"
"Does the Amazon River start in Arequipa Region ?","0","0","0","0","0","0","0"
"Which is the nearest city to Elliott Bay ?","0","0","0","0","0","0","1"
"List the movie whose music was given by Geoffrey Burgon and distributed by Cinema International Corporation ?","0","0","0","0","0","0","0"
