Questions,label1,label2,uri1,uri2,label1len,label2len,uri1Label,uri2Label
How many other genere are there of the radio stations whose one of the genre  is Classic rock,radio stations,genre,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/ontology/programmeFormat,2,1,programmeFormat,programmeFormat
name the races where bobby beasley took part,race,,http://dbpedia.org/ontology/race,,1,0,race,
What is the content license of Darcs,content license,,http://dbpedia.org/ontology/license,,2,0,license,
How many items belong to the Science Fiction genre,genre,,http://dbpedia.org/property/genre,,1,0,genre,
Count the cities whihch are on the same sea as that of Miami,cities,cities,http://dbpedia.org/property/cities,http://dbpedia.org/property/cities,1,1,cities,cities
How many scientist became famous for the battle of Occupation of Japan,battle,famous,http://dbpedia.org/ontology/battle,http://dbpedia.org/property/knownFor,1,1,battle,knownFor
Name the river whose mouth mountain is Southend-on-Sea and mouth place is Essex,mouth mountain,mouth place,http://dbpedia.org/ontology/mouthMountain,http://dbpedia.org/ontology/mouthPlace,2,2,mouthMountain,mouthPlace
In how many countries does the Zurich Affoltern am Albis Zug line go,line,In,http://dbpedia.org/property/line,http://dbpedia.org/ontology/country,1,1,line,country
Give me the count of all people who ascented a peak in California,in,ascented,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/firstAscentPerson,1,1,locatedInArea,firstAscentPerson
What people are known to work for Johnny Cash,work,,http://dbpedia.org/property/associatedActs,,1,0,associatedActs,
What rivers originate from Australian Alps,originate,,http://dbpedia.org/ontology/sourcePlace,,1,0,sourcePlace,
What is the nationality of the J. T. Krogh which is also the  sovereign state of the Camilla Martin,nationality,sovereign state,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/country,1,2,nationality,country
What is the television show whose sculptor is C. E. Webber and composed by Murray Gold,sculptor,composed by,http://dbpedia.org/ontology/creator,http://dbpedia.org/ontology/composer,1,2,creator,composer
In how many different places have people beatified by Pope Pius X died,beatified by,places,http://dbpedia.org/property/beatifiedBy,http://dbpedia.org/property/deathPlace,2,1,beatifiedBy,deathPlace
How many groups have fought in wars where Richard Taylor fought too,fought,wars,http://dbpedia.org/property/battles,http://dbpedia.org/property/combatant,1,1,battles,combatant
Is Halyna Kukhar the former coach of Stanislav Morozov,former coach,,http://dbpedia.org/ontology/formerCoach,,2,0,formerCoach,
Who directed the haunted house and alice in wonderland,directed,1929_film,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/director,1,1,director,director
Count the sports played at universities located in Urban Areas,located,sport,http://dbpedia.org/ontology/campus,http://dbpedia.org/ontology/sport,1,1,campus,sport
Which wars were fought by the commander whose deputy was Robert T. Herres,deputy,commander,http://dbpedia.org/ontology/deputy,http://dbpedia.org/ontology/commander,1,1,deputy,commander
Is the Bucyrus MT6300AC assembled in north america,assembled,,http://dbpedia.org/property/assembly,,1,0,assembly,
What is the game platform of Google Cloud Connect,game platform,,http://dbpedia.org/ontology/computingPlatform,,2,0,computingPlatform,
Who develops the computation platform of Microsoft Expression Encoder,platform,develops,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/developer,1,1,computingPlatform,developer
In how many places can I find tombs of people who fought in the Norwalk Trainband,fought,places,http://dbpedia.org/ontology/militaryUnit,http://dbpedia.org/property/restingplace,1,1,militaryUnit,restingplace
Which movies' composers have won a BAFTA for film music,music,composers,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/musicComposer,1,1,award,musicComposer
Is Microsoft office written in C++,written,,http://dbpedia.org/property/programmingLanguage,,1,0,programmingLanguage,
Was the altazor drawn by Picasso,drawn,,http://dbpedia.org/property/illustrator,,1,0,illustrator,
How many people used to play for Toronto Argonauts,play,,http://dbpedia.org/ontology/formerTeam,,1,0,formerTeam,
In how many languages did Marika Gombitova sing,sing,language,http://dbpedia.org/property/artist,http://dbpedia.org/property/language,1,1,artist,language
What is the common party of Chandra Shekhar and Govinda,party,party,http://dbpedia.org/ontology/otherParty,http://dbpedia.org/ontology/party,1,1,otherParty,party
How many different songwriters have had their songs recorded in London,recorded in,writers,http://dbpedia.org/ontology/recordedIn,http://dbpedia.org/ontology/writer,2,1,recordedIn,writer
Which is the university of Vanderbilt Commodores,university,,http://dbpedia.org/ontology/university,,1,0,university,
Which is the common nation of Louisa Hill and American Football Wellington from,nation,nation,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/country,1,1,country,country
Was robert sarvis a nominee of the US Senate,nominee,,http://dbpedia.org/ontology/nominee,,1,0,nominee,
"How many home stadium are there, of the soccer club seasons whose chairman is Merritt Paulson",chairman,home stadium,http://dbpedia.org/property/chairman,http://dbpedia.org/ontology/homeStadium,1,2,chairman,homeStadium
who all play for of the american football players at  Quarterback position,position,play,http://dbpedia.org/property/position,http://dbpedia.org/ontology/team,1,1,position,team
In which region was political figure Wayne Allard elected,region,,http://dbpedia.org/ontology/region,,1,0,region,
Where is Emmett Hughes from,,,http://dbpedia.org/ontology/nationality,,0,0,nationality,
Name the district of Robert William Wilcox,district,,http://dbpedia.org/property/district,,1,0,district,
What are the television shows which are in NTSC and 5.1 surround sound,,,http://dbpedia.org/ontology/format,http://dbpedia.org/ontology/format,0,0,format,format
Give me a count of bacterias which belongs to Bacilli class,class,,http://dbpedia.org/ontology/class,,1,0,class,
Count the participants of the NBA.,participants,,http://dbpedia.org/ontology/league,,1,0,league,
How many politicians are in the US Senate,politicians,,http://dbpedia.org/property/order,,1,0,order,
How many players participated in the 2004-05 FC Barcelona season,season,,http://dbpedia.org/property/name,,1,0,name,
Count everyone who studied at an institute which are in Suburbs,institute,studied at,http://dbpedia.org/ontology/campus,http://dbpedia.org/property/education,1,2,campus,education
Which source of broad creek is the Audenried tunnel located,source,located,http://dbpedia.org/ontology/source,http://dbpedia.org/ontology/location,1,1,source,location
Count me the number of people whose military unit is involved with Close air support,involved,military unit,http://dbpedia.org/property/role,http://dbpedia.org/ontology/militaryUnit,1,2,role,militaryUnit
Who were fighting the war where the QF Hotchkiss was used,used war,QF,http://dbpedia.org/ontology/usedInWar,http://dbpedia.org/ontology/territory,2,1,usedInWar,territory
Where was the Temptation Waits recorded,recorded,,http://dbpedia.org/ontology/recordedIn,,1,0,recordedIn,
Name the species of Panthera leo fossilis,species,,http://dbpedia.org/ontology/species,,1,0,species,
Name the driver who had a pole finish in 1989 Portuguese Grand Prix,driver pole,,http://dbpedia.org/ontology/poleDriver,,2,0,poleDriver,
what are some common surnames of female people,people,,http://dbpedia.org/property/gender,,1,0,gender,
Give me the total number of membership of the organisations which have memebers as  Azerbaijan,membership,membership,http://dbpedia.org/property/membership,http://dbpedia.org/property/membership,1,1,membership,membership
What are the reason served by Toll Global Express which is also the country of LPGA,served,country,http://dbpedia.org/ontology/regionServed,http://dbpedia.org/ontology/country,1,1,regionServed,country
"Give the total number of places to which airlines go, who also go to Glasgow",airlines,airlines,http://dbpedia.org/ontology/targetAirport,http://dbpedia.org/property/destinations,1,1,targetAirport,destinations
"Where does the rail route, which ends at the Moskovsky station, begins","route,","route,",http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/ontology/routeStart,1,1,routeEnd,routeStart
Was 12th Field Artillery Regiment garrisoned at colorado,garrison,,http://dbpedia.org/ontology/garrison,,1,0,garrison,
What is the municipality of Patterson Houses,municipality,,http://dbpedia.org/ontology/municipality,,1,0,municipality,
Was Gareth Southgate a manager of Middlesbrough F.C.,manager,,http://dbpedia.org/property/managerclubs,,1,0,managerclubs,
Count the number of sports played by the universities whihc also plays Volleyball,plays,plays,http://dbpedia.org/ontology/athletics,http://dbpedia.org/property/athletics,1,1,athletics,athletics
Which wine region of Bogdanua is the Croatian Inline hockey team part of,wine region,in,http://dbpedia.org/ontology/wineRegion,http://dbpedia.org/ontology/country,2,1,wineRegion,country
For which games are Sam Loyd and Eric Schiller both famous,famous,famous,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/ontology/knownFor,1,1,knownFor,knownFor
Count the number of religions followed by Janta Dal members.,number,religion,http://dbpedia.org/property/party,http://dbpedia.org/ontology/religion,1,1,party,religion
Does Lousana lie at the end of Alberta Highway 42,end,,http://dbpedia.org/ontology/routeEnd,,1,0,routeEnd,
Which president of United States had vice president as John Adams,vice president,,http://dbpedia.org/ontology/vicePresident,,2,0,vicePresident,
Give me a count of movies whose producer is Larry J. Franco,producer,,http://dbpedia.org/ontology/producer,,1,0,producer,
Name the partners of Kelly Brook,partner,,http://dbpedia.org/ontology/partner,,1,0,partner,
Count everyone who lives in a place where Indian English is an official language,official language,place,http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/residence,2,1,officialLanguage,residence
Count the  total number of mammals whose phylum is Chordate and order (taxonomy) is Diprotodontia,phylum,order (taxonomy),http://dbpedia.org/ontology/phylum,http://dbpedia.org/ontology/order,1,2,phylum,order
What disease led to the demise of Letitia MacTavish Hargrave and Martino Martini,demise,demise,http://dbpedia.org/ontology/deathCause,http://dbpedia.org/ontology/deathCause,1,1,deathCause,deathCause
Is George Lucas the cinematographer of 6-18-67,cinematographer,,http://dbpedia.org/property/cinematography,,1,0,cinematography,
List the shows whose company's successor is Amblin Television.,successor,company,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/company,1,1,successor,company
Count the total number of battles fought by the military people which fought in Levant,battles,battles,http://dbpedia.org/property/battles,http://dbpedia.org/property/battles,1,1,battles,battles
Name the sports played by Jamiatu Muslim Mindanao,played,,http://dbpedia.org/ontology/athletics,,1,0,athletics,
What is the television show whose opening theme is Te Deum (Charpentier),opening theme,,http://dbpedia.org/ontology/openingTheme,,2,0,openingTheme,
What is the total number of participant in conflict of SFOR,number,participant in conflict,http://dbpedia.org/property/battles,http://dbpedia.org/ontology/battle,1,3,battles,battle
From how many different places have people gone to the Harward Medical School,people,places,http://dbpedia.org/ontology/institution,http://dbpedia.org/ontology/birthPlace,1,1,institution,birthPlace
Name the river passing through Reading Berkshire and has mouth place at Essex,in,mouth place,http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/mouthPlace,1,2,city,mouthPlace
How many movies music composers are associated with Demis Roussos,associated,music composer,http://dbpedia.org/property/associatedActs,http://dbpedia.org/ontology/musicComposer,1,2,associatedActs,musicComposer
Who all play for the Ivory Coast football team,team,,http://dbpedia.org/property/nationalteam,,1,0,nationalteam,
Which party has come in power at both Balangir and Amaravila in india,india,india,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/leaderName,1,1,leaderName,leaderName
List the total number of executive producer of TV show which have one of the executiive producer as Steven Moffat,executive producer,executive producer,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/property/executiveProducer,2,2,executiveProducer,executiveProducer
How many things belong to a division of plant kingdom,kingdom,division,http://dbpedia.org/ontology/kingdom,http://dbpedia.org/ontology/division,1,1,kingdom,division
Does Massimo Liverani play for Abarth,play,,http://dbpedia.org/property/currentTeam,,1,0,currentTeam,
Name the source Island of Bayou,source,,http://dbpedia.org/ontology/source,,1,0,source,
Did Alexander Magleby study at the Dartmouth College,study,,http://dbpedia.org/ontology/university,,1,0,university,
What is the total number of relgions followed by people born in Bangkok,born in,people,http://dbpedia.org/property/birthPlace,http://dbpedia.org/ontology/religion,2,1,birthPlace,religion
Where are the homestadiums of the seasons chaired by Merritt Paulson,chaired,homestadiums,http://dbpedia.org/ontology/chairman,http://dbpedia.org/ontology/homeStadium,1,1,chairman,homeStadium
"In which of the parties that have governed over Rishikesh, does Govinda belong too",parties,belong,http://dbpedia.org/ontology/party,http://dbpedia.org/ontology/leaderName,1,1,party,leaderName
List softwares written in C++ and runs on Mac OS,runs,runs,http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/ontology/programmingLanguage,1,1,operatingSystem,programmingLanguage
What are the home stadiums of the things Leonid Fedun has been the chairman of,chairman,home stadium,http://dbpedia.org/ontology/chairman,http://dbpedia.org/ontology/homeStadium,1,2,chairman,homeStadium
For which team does hunter pence play for,team,,http://dbpedia.org/ontology/team,,1,0,team,
How many have former teams as Indianapolis Colts and Carolina Panthers,former team,former team,http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/ontology/formerTeam,2,2,formerTeam,formerTeam
Who owns Ivanpah Solar Power Facility,Facility,,http://dbpedia.org/ontology/owner,,1,0,owner,
Name the sharehoders of The National Herald,,,http://dbpedia.org/ontology/owner,,0,0,owner,
List some things that Swedish people have become famous for,,famous,http://dbpedia.org/ontology/stateOfOrigin,http://dbpedia.org/ontology/knownFor,0,1,stateOfOrigin,knownFor
How many things are made by companies who produce mass media articles,articles,made by,http://dbpedia.org/property/products,http://dbpedia.org/ontology/manufacturer,1,2,products,manufacturer
Name the rivers who originate from Essex,originate,,http://dbpedia.org/ontology/mouthPlace,,1,0,mouthPlace,
Is lion an animal,,,http://dbpedia.org/ontology/kingdom,,0,0,kingdom,
Which players have represented Los Angeles Angels of Anaheim,represented,,http://dbpedia.org/ontology/team,,1,0,team,
List the shows whose network is run by BBC.,run,network,http://dbpedia.org/ontology/owningCompany,http://dbpedia.org/ontology/network,1,1,owningCompany,network
What are some games availible on nintendo's virtual console,availible,,http://dbpedia.org/ontology/computingPlatform,,1,0,computingPlatform,
Which bacteria's taxonomic class is Bacilli,class,,http://dbpedia.org/ontology/class,,1,0,class,
Is the magnolia place of the greek revival architectural style,architectural style,,http://dbpedia.org/ontology/architecturalStyle,,2,0,architecturalStyle,
List the movies whose cast member were born in Scotland.,born in,member,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/starring,2,1,birthPlace,starring
List the significant building of the architect who also designed  Kiev,significant building,significant building,http://dbpedia.org/ontology/significantBuilding,http://dbpedia.org/ontology/significantBuilding,2,2,significantBuilding,significantBuilding
Was George Washington on the rank of general,rank,,http://dbpedia.org/ontology/militaryRank,,1,0,militaryRank,
What softwares were created by Apple Productivity Experience Group,Product,,http://dbpedia.org/ontology/product,,1,0,product,
Count the number of judges who've come on CTV network shows.,network,judges,http://dbpedia.org/ontology/network,http://dbpedia.org/property/judges,1,1,network,judges
What are the shows whose creator has worked as a screenwriter,work,creator,http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/creator,1,1,occupation,creator
Who is the person whose opponent's father is Newman Haynes Clanton,,opponent,http://dbpedia.org/ontology/parent,http://dbpedia.org/ontology/opponent,0,1,parent,opponent
Which religions are practiced in India,practiced,religion,http://dbpedia.org/ontology/hometown,http://dbpedia.org/property/religion,1,1,hometown,religion
Is Gaza Strip the result of Operation Autumn Clouds,result,,http://dbpedia.org/property/result,,1,0,result,
Is the Frank R Lillie House has the Chicago architecture,architecture,,http://dbpedia.org/ontology/architecturalStyle,,1,0,architecturalStyle,
Name the common musical band of Take Me There and Tonight's the Night,musical band,musical band,http://dbpedia.org/ontology/musicalBand,http://dbpedia.org/ontology/musicalBand,2,2,musicalBand,musicalBand
What are the county seats of the region which operates the Boeing Field,operates,county seat,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/countySeat,1,2,operator,countySeat
What is the university whose campus are Indiana and Iowa,campus,campus,http://dbpedia.org/ontology/campus,http://dbpedia.org/ontology/campus,1,1,campus,campus
What is the style of architecture of Pontiac Building,style of architecture,,http://dbpedia.org/ontology/architecturalStyle,,3,0,architecturalStyle,
Name the directors of Lennon Legend: The Very Best of John Lennon (DVD),directors,,http://dbpedia.org/ontology/director,,1,0,director,
For how many other teams have the members of Atlant Moscow Oblast played,team,teams,http://dbpedia.org/property/playedFor,http://dbpedia.org/ontology/formerTeam,1,1,playedFor,formerTeam
How many sports are played in maharashtran schools,in,sport,http://dbpedia.org/property/state,http://dbpedia.org/ontology/sport,1,1,state,sport
List the served region of the organisations of Trade association.,,served region,http://dbpedia.org/ontology/type,http://dbpedia.org/ontology/regionServed,0,2,type,regionServed
List down the commanders of Battle of Fort stephenson,commander,,http://dbpedia.org/ontology/commander,,1,0,commander,
List the books whose authors are in Alcal de Henares.,,authors,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/author,0,1,birthPlace,author
Is Guatemala a unitary state,,,http://dbpedia.org/ontology/governmentType,,0,0,governmentType,
what are some journals of academic Philosophy,academic,,http://dbpedia.org/property/discipline,,1,0,discipline,
Did taylor swift do the theme song of The Farmer Wants a Wife,theme,,http://dbpedia.org/property/opentheme,,1,0,opentheme,
What currencies have been prevalent in the country whose national anthem is La Marseillaise,national anthem,currencies,http://dbpedia.org/ontology/anthem,http://dbpedia.org/ontology/currency,2,1,anthem,currency
Where is Vietnam Airlines located,located,,http://dbpedia.org/ontology/location,,1,0,location,
How many sitcoms are there whose theme music is composed by a New Yorker,er,composed,http://dbpedia.org/ontology/hometown,http://dbpedia.org/property/themeMusicComposer,1,1,hometown,themeMusicComposer
Where is the origin of Filbert's Old Time Root Beer,origin,,http://dbpedia.org/ontology/origin,,1,0,origin,
Name the musical band of Written in the Stars,musical band,,http://dbpedia.org/ontology/musicalBand,,2,0,musicalBand,
Count the affiliations of International Union of Anarchists,affiliation,,http://dbpedia.org/property/affiliation,,1,0,affiliation,
On which subjects does the author of the novel Thud! delve,subjects,,http://dbpedia.org/ontology/nonFictionSubject,,1,0,nonFictionSubject,
Is Lancy a city close to Geneva,close,,http://dbpedia.org/ontology/neighboringMunicipality,,1,0,neighboringMunicipality,
Who is the american football player whose highschool is Ringgold High School (Pennsylvania),highschool,,http://dbpedia.org/ontology/highschool,,1,0,highschool,
Give me some organizations working for Environmentalism,working,,http://dbpedia.org/property/purpose,,1,0,purpose,
Is Wahoo! the previous work of Honeybuns,previous work,,http://dbpedia.org/ontology/previousWork,,2,0,previousWork,
List the awards given to the race horses bred by Willis Sharpe Kilmer.,bred,awards,http://dbpedia.org/ontology/breeder,http://dbpedia.org/ontology/honours,1,1,breeder,honours
"The players born in Bellaire, Ohio have played for which team",born in,played for,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/team,2,2,birthPlace,team
What games can be played in schools founded by Fr. Orlando,founded by,played,http://dbpedia.org/ontology/foundedBy,http://dbpedia.org/ontology/sport,2,1,foundedBy,sport
Is Frontaccounting licensed under GNU license,license,,http://dbpedia.org/ontology/license,,1,0,license,
Which things have been made by artists who died in Midhurst,died in,artists,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/creator,2,1,deathPlace,creator
What is the citizenship of the Sarah Kazemy and land of the Cervelle de canut,citizenship,land,http://dbpedia.org/ontology/citizenship,http://dbpedia.org/ontology/country,1,1,citizenship,country
Name some dishes made with flowering plants.,s.,s.,http://dbpedia.org/ontology/division,http://dbpedia.org/ontology/ingredient,1,1,division,ingredient
How many other home stadium are there of the soccer club whose home stadium is Luzhniki Stadium,home stadium,home stadium,http://dbpedia.org/ontology/homeStadium,http://dbpedia.org/ontology/homeStadium,2,2,homeStadium,homeStadium
Where is the  assembly of Caterpillar 797,assembly,,http://dbpedia.org/ontology/assembly,,1,0,assembly,
List everything governed by the Democratic Party of US,governed,governed,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/location,1,1,leaderName,location
What are some software which are written in languages that are run on Unix like OS,OS,languages,http://dbpedia.org/property/operatingSystem,http://dbpedia.org/property/programmingLanguage,1,1,operatingSystem,programmingLanguage
Where did some of the matches take place where Columbus Crew SC played,played,played,http://dbpedia.org/property/team,http://dbpedia.org/ontology/location,1,1,team,location
How many shows belong to the networks one of whose sister station is BBC News,sister,network,http://dbpedia.org/property/sisterNames,http://dbpedia.org/ontology/network,1,1,sisterNames,network
List the agencies located someplace lead by Alex Chalk.,lead,someplace,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/location,1,1,leaderName,location
Through which cities do the rivers starting at the Montauk State Park flow,flow,State,http://dbpedia.org/ontology/sourcePlace,http://dbpedia.org/ontology/city,1,1,sourcePlace,city
People from how many political parties exist in Maharashtra,,parties,http://dbpedia.org/property/placeOfBirth,http://dbpedia.org/ontology/party,0,1,placeOfBirth,party
Whose opponents are Ike Clanton and Billy Clanton,opponent,opponent,http://dbpedia.org/ontology/opponent,http://dbpedia.org/ontology/opponent,1,1,opponent,opponent
Who are the people whose alumna is a part of the National Collegiate Athletic Association,athletic,part,http://dbpedia.org/ontology/athletics,http://dbpedia.org/property/education,1,1,athletics,education
To which religion does the commander of South Thailand insurgency belong,commander,religion,http://dbpedia.org/ontology/commander,http://dbpedia.org/ontology/religion,1,1,commander,religion
Give me a count of everything owned by the network whose sister name is The CW,sister name,network,http://dbpedia.org/property/sisterNames,http://dbpedia.org/property/network,2,1,sisterNames,network
Which famous writer was married to Jill Krementz and had a son named Edith Vonnegut,married to,son,http://dbpedia.org/ontology/spouse,http://dbpedia.org/ontology/child,2,1,spouse,child
Which are the races in which Martin Molony participated,race,,http://dbpedia.org/ontology/race,,1,0,race,
Was Yabanc Damat first aired in UAE,first aired,,http://dbpedia.org/property/firstAired,,2,0,firstAired,
Name some basketball players who  have played for chicago bulls,played,,http://dbpedia.org/property/team,,1,0,team,
What is the field of the Jon Speelman and occupation of the Karen Grigorian,field,occupation,http://dbpedia.org/ontology/field,http://dbpedia.org/ontology/occupation,1,1,field,occupation
List the maintainers of Pandaruan Bridge,maintainer,,http://dbpedia.org/ontology/maintainedBy,,1,0,maintainedBy,
Who were the producers of the tenderfoot,producer,,http://dbpedia.org/ontology/producer,,1,0,producer,
Is coffee a main ingredient of Hopje,main ingredient,,http://dbpedia.org/property/mainIngredient,,2,0,mainIngredient,
How many sitcoms were produced by the company whose predecessor was the Desilu Productions,predecessor,company,http://dbpedia.org/property/predecessor,http://dbpedia.org/property/company,1,1,predecessor,company
Which engine's successor's predecessor is BMW M10,predecessor,successor,http://dbpedia.org/ontology/predecessor,http://dbpedia.org/ontology/successor,1,1,predecessor,successor
Which person's successor is Samsu-iluna,successor,,http://dbpedia.org/ontology/successor,,1,0,successor,
Under which president did the predecessor of Simon Ferro work,work,president,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/president,1,1,successor,president
In which municipalities does the NYC housing authority own buildings,,municipalities,http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/ontology/municipality,0,1,owningOrganisation,municipality
Was andy worhol the director of the san diego surf,director,,http://dbpedia.org/ontology/cinematography,,1,0,cinematography,
Count the number of places where alumini of Edinburgh university have died,died,places,http://dbpedia.org/property/education,http://dbpedia.org/ontology/deathPlace,1,1,education,deathPlace
Is Cologny a neighbouring city of Geneva,city,,http://dbpedia.org/property/neighboringMunicipalities,,1,0,neighboringMunicipalities,
Does the Sicklefin lemon shark belong in the animal kingdom,kingdom,,http://dbpedia.org/ontology/kingdom,,1,0,kingdom,
What is the local authority of Liverpool Institute High School for Boys,local authority,,http://dbpedia.org/ontology/localAuthority,,2,0,localAuthority,
Give me the places where people who worked in Church of England died in,work,died in,http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/deathPlace,1,2,occupation,deathPlace
What famous musicians play the remo,play,,http://dbpedia.org/ontology/instrument,,1,0,instrument,
What belongs to the families of Buccinidae and Buccinoidea,families,families,http://dbpedia.org/ontology/family,http://dbpedia.org/ontology/family,1,1,family,family
List down all notable works of Neil Cross,notable work,,http://dbpedia.org/ontology/notableWork,,2,0,notableWork,
What is the largest city of the country which have an assembly of Plymouth Savoy,assembly,largest city,http://dbpedia.org/ontology/assembly,http://dbpedia.org/ontology/largestCity,1,2,assembly,largestCity
Does nintendo have a division called Nintendo Entertainment Planning & Development,division,,http://dbpedia.org/property/divisions,,1,0,divisions,
How many pole drivers have been there in grand prixes where first driver was Damon Hill,first driver,pole driver,http://dbpedia.org/ontology/firstDriver,http://dbpedia.org/ontology/poleDriver,2,2,firstDriver,poleDriver
Was the Model K designed by Herny Ford,designed,,http://dbpedia.org/ontology/designCompany,,1,0,designCompany,
Is Queen Latifah the narrator of Arctic Tale,narrator,,http://dbpedia.org/property/narrator,,1,0,narrator,
How many companies were founded in Dallas,founded,,http://dbpedia.org/property/foundation,,1,0,foundation,
What are the mammals whose phylum is Chordate,phylum,,http://dbpedia.org/ontology/phylum,,1,0,phylum,
Which state's largest city is Omaha,largest city,,http://dbpedia.org/ontology/largestCity,,2,0,largestCity,
Who all have been judges on CTV Network's shows,Network,judges,http://dbpedia.org/ontology/network,http://dbpedia.org/property/judges,1,1,network,judges
"Which rivers end in Old Saybrook, Connecticut",in,,http://dbpedia.org/ontology/mouthMountain,,1,0,mouthMountain,
How many artists' works are in Muse d'Orsay,muse,artist,http://dbpedia.org/property/museum,http://dbpedia.org/property/artist,1,1,museum,artist
In how many different places does Canal and River Trust own its assets,own,assets,http://dbpedia.org/ontology/owner,http://dbpedia.org/ontology/location,1,1,owner,location
which planet was discovered by Urbain Le Verrier,discovered by,,http://dbpedia.org/ontology/discoverer,,2,0,discoverer,
Who are some authoritative persons on the matter of Megabalanus concinnus,matter,,http://dbpedia.org/ontology/binomialAuthority,,1,0,binomialAuthority,
Who is the father of Barbara Ann Crancer,father,,http://dbpedia.org/ontology/child,,1,0,child,
What are some given names for males,names,,http://dbpedia.org/ontology/gender,,1,0,gender,
Name the parent company of Ford Falcon Cobra,parent company,,http://dbpedia.org/ontology/parentCompany,,2,0,parentCompany,
"Where is the radio broadcasted in, whose sister station is CKFM-FM",sister station,broadcasted,http://dbpedia.org/ontology/sisterStation,http://dbpedia.org/ontology/broadcastArea,2,1,sisterStation,broadcastArea
Does A foreign policy of freedom belong to the genre Politics,genre,,http://dbpedia.org/ontology/literaryGenre,,1,0,literaryGenre,
Chestnut colored horses have won which races,,,http://dbpedia.org/ontology/colour,http://dbpedia.org/ontology/honours,0,0,colour,honours
For which common president did Jim Sasser and Mike McCurry work,president,president,http://dbpedia.org/ontology/president,http://dbpedia.org/ontology/president,1,1,president,president
Jerry Bock's musicals has been adapted from how many things,music,adapted from,http://dbpedia.org/property/music,http://dbpedia.org/ontology/basedOn,1,2,music,basedOn
Who are the spouse of the parents of Kimberly Stewart,parent,spouse,http://dbpedia.org/ontology/parent,http://dbpedia.org/ontology/spouse,1,1,parent,spouse
Count the number of fileds of the scientist whose one of the interest is Chinese poetry,interest,interest,http://dbpedia.org/property/fields,http://dbpedia.org/property/fields,1,1,fields,fields
Who is the governor of Carl McCall,governor,,http://dbpedia.org/ontology/governor,,1,0,governor,
"What borders the valley which falls under Lake County, Oregon",falls,border,http://dbpedia.org/ontology/municipality,http://dbpedia.org/ontology/border,1,1,municipality,border
Name the television show created by CE Webber and also has actor named Companion,actor,created by,http://dbpedia.org/ontology/starring,http://dbpedia.org/ontology/creator,1,2,starring,creator
What sports are played at universities affiliated by States Colleges and Universities athletic association,association,sport,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/ontology/sport,1,1,affiliation,sport
Which team has had both Martin prochzka and garry unger as its players,team,team,http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/ontology/formerTeam,1,1,formerTeam,formerTeam
What is the official residence of Fergus McMaster,residence,,http://dbpedia.org/ontology/residence,,1,0,residence,
What is the total number of  builder of the military structures whose builder is also United States,builder,builder,http://dbpedia.org/ontology/builder,http://dbpedia.org/ontology/builder,1,1,builder,builder
From what countries have people participated in the Excelsior Stakes,participated,participated,http://dbpedia.org/property/race,http://dbpedia.org/ontology/birthPlace,1,1,race,birthPlace
What is the total number of guests on the show whose theme music is Let me be your star,music,guests,http://dbpedia.org/property/music,http://dbpedia.org/property/guests,1,1,music,guests
Was Noko a band member of Luxuria,member band,,http://dbpedia.org/ontology/formerBandMember,,2,0,formerBandMember,
Name some basketball players whose team is coached by Fred Hoiberg,coach,team,http://dbpedia.org/ontology/coach,http://dbpedia.org/property/team,1,1,coach,team
Who all have developed softwares for Unix Like OSes,OSes,developed,http://dbpedia.org/property/operatingSystem,http://dbpedia.org/ontology/developer,1,1,operatingSystem,developer
What are the movies whose music is composed by Vangelis,composed,,http://dbpedia.org/ontology/musicComposer,,1,0,musicComposer,
